id;room_id;name;log_price;log_sqm;num_rooms;num_bathrooms;price_per_sqm;sqm_per_room;rooms_per_sqm;baths_per_room;discount_pct;price_relative_to_type;price_relative_to_province;has_stars;pool_flag;beach_flag;breakfast;cancellation;property_type_Agroturismo;property_type_Albergue;property_type_Apartahotel;property_type_Apartamento;property_type_Barco;property_type_Bed and breakfast;property_type_Camping;property_type_Camping resort;property_type_Casa o chalet;property_type_Casa rural;property_type_Chalet de montaña;property_type_Habitación en casa particular;property_type_Hostal o pensión;property_type_Hotel;property_type_Lodge;property_type_Love hotel;property_type_Posada u hostería;property_type_Resort;property_type_Riad;property_type_Villa;region_ ;region_Andalucía;region_Aragón;region_Canary Islands;region_Cantabria;region_Castilla y León;region_Castilla-La Mancha;region_Cataluña;region_Ceuta;region_Comunidad Foral de Navarra;region_Comunidad Valenciana;region_Comunidad de Madrid;region_Extremadura;region_Galicia;region_Islas Baleares;region_La Rioja;region_Melilla;region_País Vasco;region_Principado de Asturias;region_Región de Murcia
10003913;1000391308;Checkin Madrid Móstoles;-0.5119298270546869;-0.956856104397426;-0.5;-1.0;0.24474955600744835;-0.7222222222222222;-0.7200000000000001;-0.6666666666666666;0.0;-0.4250985564212797;-0.21997637200493547;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10003981;1000398101;Rockside Residentes Suites La Línea;0.2556465873379473;0.36190144163889304;0.5;0.0;0.016787091775180726;-0.2777777777777778;0.30857142857142855;-0.16666666666666663;0.0;0.32100658118513603;0.09160685426577969;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10004015;1000401501;Primera línea de playa y Gibraltar a 5 minutos;0.38217087526132704;0.36190144163889304;0.5;0.0;0.15450750916761588;-0.2777777777777778;0.30857142857142855;-0.16666666666666663;1.1678890028019628;0.5047645599787736;0.30493261479129513;0.0;0.0;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10004244;1000424401;Apartamento con piscina en 1ª línea Golf La Quinta;0.7926563457001702;0.9952199131057209;0.5;0.0;0.09850772416825676;0.8333333333333334;-0.0654545454545455;-0.16666666666666663;7.1650450279682305;1.2855476829452137;0.3741586855053896;0.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10004445;1000444501;La Tesela;-0.40510040279499826;0.6499356946012869;0.5;1.0;-0.5812499022479901;0.16666666666666666;0.11720930232558137;0.33333333333333337;0.0;-0.5501320697621059;0.6507356528754527;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10004719;1000471901;Precioso Apartamento Costa Azahar 2 Marina D or;0.515861053111787;0.36190144163889304;0.5;0.0;0.31987135478467627;-0.2777777777777778;0.30857142857142855;-0.16666666666666663;0.0;0.7254066885133271;0.32567930400730694;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10004975;1000497503;LPA Urban stay;-0.8086658020112588;-0.6006695673593773;0.0;0.0;-0.2928298409046047;-0.2777777777777778;0.30857142857142855;0.33333333333333337;0.0;-0.19646911709569245;-0.5188806385149656;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10005678;1000567801;One&Lux Lumbreras, bright duplex with private terrace;-0.5925692523258791;0.1467476265759162;0.0;0.0;-0.49632592551742805;1.1111111111111112;-0.12000000000000002;0.33333333333333337;0.0;-0.4641246136561526;0.036787437944629485;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10006089;1000608901;Alojamiento Esencia I;-0.6698293781007154;0.1467476265759162;0.5;0.0;-0.5349073984447805;-0.5555555555555556;0.48;-0.16666666666666663;0.0;-0.5082491229954078;-0.09834237807279467;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10006949;1000694901;Apartamento El Llano;0.9103617166520857;0.2584033252131363;0.5;0.0;1.1080630761577233;-0.4166666666666667;0.3876923076923078;-0.16666666666666663;0.0;1.5739228879846627;0.9156822420720439;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
10007276;1000727601;Casa Rural Alikakaro;0.28875485835709114;0.3214045602940193;0.5;0.0;0.08279866513706113;-0.3333333333333333;0.3388235294117647;-0.16666666666666663;0.0;-0.04463549109635006;0.9934098050236888;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10007428;1000742802;Live Santa Úrsula Cala;-0.44642399820750234;0.6002009628185964;0.5;0.0;-0.5835120603183177;0.08333333333333333;0.14746987951807233;-0.16666666666666663;0.0;-0.5707170933267525;-0.20406142675434896;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10007527;1000752701;Sweet flat in Tortosa;-0.14757677172048592;0.5310509353573666;1.0;0.0;-0.40333705722389107;-0.7592592592592593;0.6470886075949368;-0.3333333333333333;0.0;-0.1331615212740056;-0.6312757039305958;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1000785;100078506;Hostal La Fosca;0.6599083532190376;-0.6006695673593773;-0.5;-1.0;2.071740691757841;-0.2777777777777778;-0.7200000000000001;-0.6666666666666666;0.0;0.9639223340367457;0.42118209926102257;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1000807;100080701;Pension Logroño;-0.8415356135653678;0.025537527317876164;-0.5;-1.0;-0.5733419102512879;0.8333333333333334;-0.7200000000000001;-0.6666666666666666;0.0;-0.22417744990380248;-0.7383869396984395;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
10008134;1000813401;Piso completo en Gijon muy cerca de la playa;0.5659288828825002;0.45835323540377126;0.5;0.0;0.29352994482383016;-0.1388888888888889;0.24000000000000005;-0.16666666666666663;0.0;0.8157844036421721;0.21653214721152642;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
10008268;1000826804;EL POBLET DE ATALAYAS;-0.4512026252157094;1.522275090471993;-0.5;-1.0;-0.7963458923061784;6.666666666666667;-0.7200000000000001;-0.6666666666666666;0.0;0.10999747246488452;-0.9133084935589528;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10009772;1000977202;Wimpy Solo Familias Serviplaya;0.13421213746686916;0.49516814735747255;0.5;0.0;-0.1841732352972807;-0.08333333333333333;0.21506493506493513;-0.16666666666666663;0.0;0.16486401534753475;-0.06544070882393319;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10009853;1000985311;Apartamentos Turísticos DE LA BERNARDA;-0.23006784797303673;-0.6405959941098419;0.0;0.0;0.30527511467696034;-0.3333333333333333;0.3388235294117647;0.33333333333333337;0.7123442916044402;-0.2059055399843781;0.4399880789081777;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10009917;1000991701;Vestige Son Vell;2.0643988272932305;-0.19293937114479665;0.0;0.0;8.1338544602338;0.3888888888888889;0.045957446808510605;0.33333333333333337;0.0;7.001791775988748;3.1691580853593218;1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
