id;room_id;name;log_price;log_sqm;num_rooms;num_bathrooms;price_per_sqm;sqm_per_room;rooms_per_sqm;baths_per_room;discount_pct;price_relative_to_type;price_relative_to_province;has_stars;pool_flag;beach_flag;breakfast;cancellation;property_type_Agroturismo;property_type_Albergue;property_type_Apartahotel;property_type_Apartamento;property_type_Barco;property_type_Bed and breakfast;property_type_Camping;property_type_Camping resort;property_type_Casa o chalet;property_type_Casa rural;property_type_Chalet de montaña;property_type_Habitación en casa particular;property_type_Hostal o pensión;property_type_Hotel;property_type_Lodge;property_type_Resort;property_type_Villa;region_Andalucía;region_Aragón;region_Canary Islands;region_Cantabria;region_Castilla y León;region_Castilla-La Mancha;region_Cataluña;region_Comunidad Foral de Navarra;region_Comunidad Valenciana;region_Comunidad de Madrid;region_Extremadura;region_Galicia;region_Islas Baleares;region_La Rioja;region_Melilla;region_País Vasco;region_Principado de Asturias;region_Región de Murcia
10007379;1000737901;COLORADAS PLAYA 16;0.2076107622904307;1.1334572326782753;1.0;1.0;-0.4184625404368165;0.0;0.18000000000000005;0.0;0.0;-0.7204086687579935;0.15202711773002564;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1000781;100078102;Fuencarral Apartments;0.21222460547383884;-0.026060804629724436;0.0;0.0;0.3128572925189412;0.5263157894736842;0.0;0.33333333333333337;0.9706175123831238;0.29957257272003984;1.1135342670585144;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10007881;1000788102;Costacabana - Villa Pilar;2.2289784299815003;2.05816531130531;4.5;6.0;1.083133753900141;-0.8421052631578947;0.7799999999999999;0.033333333333333326;0.0;1.2220577159628334;8.229752333564617;0.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10009853;1000985302;Apartamentos Turísticos DE LA BERNARDA;-0.35447742075981253;-1.0376898509572594;0.0;0.0;0.590103732784823;-0.8947368421052632;0.8452173913043478;0.33333333333333337;1.1027025999775346;-0.27229364677548096;0.16247116504051826;0.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10013390;1001339006;AmazINN Places Madrid Preciados;-0.1715264587412715;-0.49351948090441655;0.0;0.0;0.271782311981051;-0.2631578947368421;0.30857142857142855;0.33333333333333337;1.0207127808032401;-0.12222415317539888;0.23954852635982282;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10013885;1001388501;City Family Ciudad Jardín;-0.04783638750285064;0.5948212592012702;0.5;1.0;-0.3371199162978573;0.0;0.18000000000000005;0.33333333333333337;1.291776466707533;-0.0037626104751115746;0.5403625238501567;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10015561;1001556102;Dúplex La Marea;0.44264675274289883;0.8909819260753183;1.0;0.0;-0.14704892807012632;-0.350877192982456;0.36;-0.3333333333333333;0.0;0.6441346384328117;1.7099968484359334;0.0;0.0;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10016354;1001635401;Two bedrooms apartment in Costa Adeje;-0.09994547956951778;0.09945951408474529;0.5;0.0;-0.10959805525298784;-0.6578947368421053;0.589090909090909;-0.16666666666666663;0.0;-0.05548838996360788;0.31014499913936533;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1001704;100170408;Apartamentos Sinfony;0.6179048575271165;-0.49351948090441655;0.0;0.0;1.7591396000393296;-0.2631578947368421;0.30857142857142855;0.33333333333333337;1.0765732211276515;0.4524830031743631;-0.2159809233825258;1.0;1.0;0.0;0.0;-1.0;0.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
10018850;1001885001;Villa Sabina;0.9274597038688916;2.6004781180612175;1.5;5.0;-0.5776985270099677;2.6315789473684212;-0.32;0.8333333333333334;0.0;-0.41222791119405666;3.812101974739743;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
