id;room_id;name;log_price;log_sqm;num_rooms;num_bathrooms;price_per_sqm;sqm_per_room;rooms_per_sqm;baths_per_room;discount_pct;price_relative_to_type;price_relative_to_province;has_stars;pool_flag;beach_flag;breakfast;cancellation;property_type_Agroturismo;property_type_Albergue;property_type_Apartahotel;property_type_Apartamento;property_type_Barco;property_type_Bed and breakfast;property_type_Camping;property_type_Camping resort;property_type_Casa o chalet;property_type_Casa rural;property_type_Chalet de montaña;property_type_Habitación en casa particular;property_type_Hostal o pensión;property_type_Hotel;property_type_Lodge;property_type_Love hotel;property_type_Posada u hostería;property_type_Resort;property_type_Villa;region_ ;region_Andalucía;region_Aragón;region_Canary Islands;region_Cantabria;region_Castilla y León;region_Castilla-La Mancha;region_Cataluña;region_Ceuta;region_Comunidad Foral de Navarra;region_Comunidad Valenciana;region_Comunidad de Madrid;region_Extremadura;region_Galicia;region_Islas Baleares;region_La Rioja;region_Melilla;region_País Vasco;region_Principado de Asturias;region_Región de Murcia
10000125;1000012502;Apartamentos Villa Zoila Nigrán;0.8256317056597225;-0.11544955882259514;0.0;0.0;1.4092020053695087;0.8333333333333334;-0.06363636363636369;0.5;0.0;1.3089246742144114;1.2509668503072289;0.0;0.0;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10000734;1000073405;Hostal Carlos III;-1.0836771974044033;-0.5363324550022851;-0.5;-1.0;-0.4971878600140303;0.0;-0.7000000000000001;-0.9999999999999999;0.0;-0.3789372661989258;-0.31789867726404925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10001060;1000106001;Apartamento Ría Villaviciosa;0.5670872346975501;0.20492857591956204;0.5;1.0;0.4466382908618642;-0.2777777777777778;0.3;0.5;0.0;0.7983093034369301;0.47542568754467085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
10001487;1000148703;Luxury Villa Alma Pool, Garden & Parking;2.8438605551006204;2.8426061683960486;1.5;3.0;0.44346057095080377;4.722222222222222;-0.42000000000000004;0.5;0.0;3.001940824582891;11.144337616585657;0.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10001758;1000175802;León;0.5827321557195158;0.20492857591956204;0.0;0.0;0.4687824530748138;1.6666666666666667;-0.20000000000000004;0.5;0.0;0.826077295230407;0.25783139220799156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10001863;1000186301;Edificio Galerias;-0.5295424945553653;-0.24170385875071157;0.0;0.0;-0.29752304010119324;0.5555555555555556;0.0;0.5;0.0;-0.45190506728655727;-0.5101233059430497;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
10002045;1000204502;Torreta;1.3899875055874273;1.1310934717873258;1.5;2.0;0.4743674438813642;-0.2777777777777778;0.3;0.12500000000000003;0.0;2.000640869341429;2.0430220502545104;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10002076;1000207601;Apartamento Las Terrazas del Ayuntamiento by Clabao;-0.20187061018644176;0.10634923349293973;1.0;0.0;-0.2790956544848411;-1.0185185185185184;0.9153846153846155;-0.49999999999999994;0.0;-0.1926514041166382;0.039799547939182923;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
10002079;1000207902;Casa Ana;-0.2572373348690234;0.20492857591956204;0.5;0.0;-0.3827841251286022;-0.2777777777777778;0.3;-0.24999999999999992;0.0;-0.46138910285773255;-0.45585392151873183;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10002125;1000212502;Meson de los Caballeros;2.2439591954104072;2.700675448539003;2.0;5.0;-0.10568735996265806;2.7777777777777777;-0.3111111111111111;0.7999999999999999;0.10542408038468273;5.534622503866623;13.218162174868926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
