Total;IF_anomalies;LOF_anomalies;IF_rate;LOF_rate
3700;655;139;17.7;3.76
1731;255;74;14.73;4.27
3007;385;164;12.8;5.45
1631;141;80;8.65;4.9
547;42;78;7.68;14.26
3410;253;143;7.42;4.19
1418;101;78;7.12;5.5
5053;356;326;7.05;6.45
1721;119;58;6.91;3.37
10662;548;581;5.14;5.45
2258;106;163;4.69;7.22
2328;99;155;4.25;6.66
532;22;77;4.14;14.47
10591;421;384;3.98;3.63
13827;445;552;3.22;3.99
1067;33;77;3.09;7.22
28953;657;1469;2.27;5.07
16;0;9;0.0;56.25
15;0;10;0.0;66.67
