id;room_id;name;if_score;if_anomaly;lof_score;lof_anomaly;extraction_date;lookahead_period;checkin_date;checkout_date;room_id_raw;name_raw;price;sqm;property_type;region;province;num_rooms;num_bathrooms;log_price;log_sqm;price_per_sqm;discount_pct;pool_flag;beach_flag;breakfast;price_relative_to_type;price_relative_to_province;extreme_price_high;extreme_price_low;suspected_placeholder_sqm;extreme_price_per_sqm;overcrowded_layout;excess_bathrooms;tiny_villa;huge_apartment;any_flag;log_price.1;log_sqm.1;num_rooms.1;num_bathrooms.1;price_per_sqm.1;sqm_per_room;rooms_per_sqm;baths_per_room;discount_pct.1;price_relative_to_type.1;price_relative_to_province.1;has_stars;pool_flag.1;beach_flag.1;breakfast.1;cancellation;property_type_Agroturismo;property_type_Albergue;property_type_Apartahotel;property_type_Apartamento;property_type_Barco;property_type_Bed and breakfast;property_type_Camping;property_type_Camping resort;property_type_Casa o chalet;property_type_Casa rural;property_type_Chalet de montaña;property_type_Habitación en casa particular;property_type_Hostal o pensión;property_type_Hotel;property_type_Lodge;property_type_Love hotel;property_type_Posada u hostería;property_type_Resort;property_type_Riad;property_type_Villa;region_Andalucía;region_Aragón;region_Canary Islands;region_Cantabria;region_Castilla y León;region_Castilla-La Mancha;region_Cataluña;region_Ceuta;region_Comunidad Foral de Navarra;region_Comunidad Valenciana;region_Comunidad de Madrid;region_Extremadura;region_Galicia;region_Islas Baleares;region_La Rioja;region_Melilla;region_País Vasco;region_Principado de Asturias;region_Región de Murcia;is_if_anomaly;is_lof_anomaly;if_rank;lof_rank;consensus_anomaly;agreement_group;if_percentile;lof_percentile;combined_rank;disagreement_type
14024949;1402494901;Casa Roxanne;-0.0818791951112217;1;18.88785156735232;-1;2026-09-13;3m;2026-12-19;2026-12-26;1402494901;Casa Roxanne;725.0;65.0;Apartamento;Andalucía;Almería;2.0;2.0;6.587550014824796;4.189654742026425;11.153846153846152;11.06896551724138;0;0;0;0.7959073893139827;0.9988151985231312;False;False;False;False;False;False;False;False;False;-0.2198086367611201;0.3383237084222024;0.0;1.0;-0.4785399055822041;0.2631578947368421;-0.0170839082725539;0.5;1.6284728728196405;-0.140077088914398;-0.2005067129451621;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;True;55979.0;2.0;False;LOF only;39.46164577633102;99.99891853309829;69.73028215471466;LOF only
9099444;909944402;GuestReady - Blanca Paloma;-0.0769350207633917;1;6.514557444649373;-1;2026-09-13;3m;2026-12-19;2026-12-26;909944402;GuestReady - Blanca Paloma;648.64;60.0;Hostal o pensión;Andalucía;Cádiz;1.0;1.0;6.476418363306402;4.110873864173311;10.810666666666666;0.0;0;0;0;1.2337657397192527;0.8007901234567901;False;False;False;False;False;False;False;False;False;-0.8004186109645819;-0.3235307920875624;-1.0;-1.0;-0.4310634422729756;0.7894736842105263;-1.537551744529864;-1.5;0.0;-0.3804622835745728;-0.4449003863490104;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;False;True;49923.0;5.0;False;LOF only;46.01100933305936;99.99567413239318;73.00334173272627;LOF only
12779843;1277984303;Casalar;-0.0777402610954073;1;6.443253283601993;-1;2026-09-13;3m;2026-12-19;2026-12-26;1277984303;Casalar;684.0;60.0;Hostal o pensión;Andalucía;Granada;1.0;1.0;6.529418838262226;4.110873864173311;11.4;0.0;0;0;0;1.3010233195115457;0.7805813276729775;False;False;False;False;False;False;False;False;False;1.0047739088767875;0.8349967090208791;0.0;1.0;0.1662443684098403;1.3157894736842106;-0.4849201655824955;0.5;7.284424621994426;0.9054677265662446;0.8998394635979374;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;True;50861.0;6.0;False;LOF only;44.99659337925962;99.99459266549148;72.49559302237554;LOF only
272511;27251105;Albergue Inturjoven Jaen;-0.062075947960196;1;4.478942775397588;-1;2026-09-13;3m;2026-12-19;2026-12-26;27251105;Albergue Inturjoven Jaen;371.0;40.0;Albergue;Andalucía;Jaén;1.0;1.0;5.918893854273146;3.713572066704308;9.275;0.0;0;0;0;0.7978065695392721;0.5457326939483981;False;False;False;False;False;False;False;False;False;-0.1920981818117186;0.9592375613648674;-1.0;-1.0;-0.7853152703737168;5.394736842105263;-1.537551744529864;-1.5;0.0;-0.2379586789420214;-0.1338975463412962;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;True;36220.0;11.0;False;LOF only;60.83035028712946;99.98918533098295;80.4097678090562;LOF only
13634978;1363497803;FC Los Cubos Auto Check In;-0.0221055698838529;1;4.236875605635163;-1;2026-09-13;3m;2026-12-19;2026-12-26;1363497803;FC Los Cubos Auto Check In;534.0001;39.0;Apartahotel;Castilla y León;León;0.0;0.0;6.282266933811877;3.688879454113936;13.692310256410256;0.0;0;0;0;0.6232421423652852;0.6547087527432782;False;False;False;False;False;False;False;False;False;-0.2766956408192492;-0.5055636045266001;-0.5;0.0;0.2092991235054898;0.4210526315789473;-0.1121131480386359;0.5;0.0;-0.1946505297030276;-0.2504888978852494;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;True;11148.0;13.0;False;LOF only;87.94488844668908;99.98702239717954;93.96595542193431;LOF only
15348646;1534864601;Modern & Cozy flat in Center Granada;-0.052270130240826;1;4.116100569206628;-1;2026-09-13;3m;2026-12-19;2026-12-26;1534864601;Modern & Cozy flat in Center Granada;691.0001;650.0;Apartamento;Andalucía;Granada;1.0;1.0;6.539586100126329;6.478509642208569;1.0630770769230768;0.0784368916878594;0;0;0;0.7585821870437255;0.7885698471932167;False;False;False;False;False;False;False;True;True;1.6395284067439555;1.6772821168455738;1.5;2.0;-0.0335280812532398;0.4421052631578946;-0.1238936323071584;-0.3;0.0;2.346079033159129;2.942796186653518;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;True;28894.0;14.0;False;LOF only;68.75317680902377;99.98594093027783;84.3695588696508;LOF only
9560195;956019503;Trendy Homes Puerta Purchena;-0.0665629095038835;1;3.980850742145669;-1;2026-09-13;3m;2026-12-19;2026-12-26;956019503;Trendy Homes Puerta Purchena;679.28;55.0;Apartahotel;Andalucía;Almería;1.0;1.0;6.522504478124213;4.02535169073515;12.350545454545454;0.0;0;0;0;0.7928012044677349;0.9358278455900586;False;False;False;False;False;False;False;False;False;0.7884775527250463;0.8860596487635368;1.0;2.0;-0.1086305147802793;-0.3289473684210526;0.4897387038132161;0.0;2.318679398592953;1.3409609216669638;1.155931779450577;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;True;39900.0;16.0;False;LOF only;56.85055208885332;99.98377799647442;78.41716504266387;LOF only
15176066;1517606601;Loft paradisse;-0.1265346999206636;1;3.973930031454223;-1;2026-09-13;3m;2026-12-19;2026-12-26;1517606601;Loft paradisse;701.02;60.0;Apartamento;Melilla;Melilla;1.0;1.0;6.553961893648468;4.110873864173311;11.683666666666666;0.0784285755042652;0;0;0;0.769582066285363;0.9574813904254592;False;False;False;False;False;False;False;False;False;0.6215860998144221;0.4112406125592863;0.5;0.0;0.2032316821838703;-0.4385964912280701;0.6231130754147346;-0.8333333333333334;0.0;0.3168301198815323;0.8546085437091664;0.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;True;92463.0;17.0;False;LOF only;0.005407334508527367;99.9826965295727;49.99405193204062;LOF only
4587914;458791401;APARTAMENTOS ALBANTA;-0.0606634034742686;1;3.972234395418648;-1;2026-09-13;3m;2026-12-19;2026-12-26;458791401;APARTAMENTOS ALBANTA;525.0;60.0;Apartahotel;Andalucía;Almería;2.0;1.0;6.26530121273771;4.110873864173311;8.75;0.0;0;0;0;0.6127379465692511;0.7232799713443364;False;False;False;False;False;False;False;False;False;-0.277535881154742;-0.3235307920875624;0.0;0.0;0.0109291503381951;-0.6578947368421053;0.9504865329820976;-0.5;0.0;-0.1954391632404355;-0.2512111837947882;0.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;True;35151.0;18.0;False;LOF only;61.98643840505261;99.981615062671;80.98402673386181;LOF only
6600274;660027402;Bnbook Medea Apartments;-0.0638383739817477;1;3.941724233339529;-1;2026-09-13;3m;2026-12-19;2026-12-26;660027402;Bnbook Medea Apartments;556.0001;45.0;Apartahotel;Andalucía;Málaga;1.0;1.0;6.3225654194604815;3.828641396489095;12.355557777777776;0.0;0;0;0;0.6489187801262823;0.578624250325294;False;False;False;False;False;False;False;False;False;-0.2301810340754684;0.179630660092799;0.0;1.0;-0.3781275200917623;0.0;0.1729745712596098;0.5;0.9871585303008524;-0.1502031435347162;0.0634961831397305;0.0;1.0;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;False;True;37631.0;19.0;False;LOF only;59.30440048882304;99.9805335957693;79.64246704229618;LOF only
