id;room_id;name;if_score;if_anomaly;lof_score;lof_anomaly
10007694;1000769401;LA MESA;-0.020147088253049783;1;1.1134378304598134;1
10007696;1000769601;A de Calón;-0.037608160368772736;1;1.1892382680720173;1
10008130;1000813001;Stay In Costa Blanca;-0.10225249761340072;1;1.104831976942046;1
10008264;1000826401;Apartamento en pleno paseo marítimo de Marbella.;-0.10858655069055329;1;1.12379585164295;1
10008300;1000830001;The Nook (El Recoveco);-0.10097680647130947;1;1.0831036654486046;1
10008305;1000830501;Precioso apartamento con vistas al mar.;-0.09361816628467218;1;1.129287479559832;1
1000849;100084905;Casa Africa;-0.05144810534027511;1;1.1056870868020168;1
10008826;1000882601;Royal;-0.1045847603423084;1;1.0014299222273477;1
10008894;1000889402;Apartamentos Marina Suites;-0.08122989134852354;1;1.0261765370273455;1
10008917;1000891701;Finca Sol - Adults only;-0.09734591116832964;1;1.0303955972851222;1
10008979;1000897902;Bonamar;-0.09548990658209305;1;1.0979500921699101;1
10009149;1000914901;Amazing apartment with sea view & big terrace;-0.12251503846485612;1;0.9825231086768752;1
10009163;1000916301;VH Costa Blanca - APARTAMENTO ABANTOS;-0.099373358679135;1;1.2949919025511485;1
10009523;1000952301;El Mercado;-0.12126905995972398;1;1.0532335488896036;1
10009589;1000958902;Gabriela Mistral ID119;-0.04472579606977323;1;1.003844337254434;1
10009665;1000966501;Apartamento Carmen en Muxía;-0.04962987113859696;1;1.180743647906269;1
10009724;1000972401;LLOGUER30 Cecilia's House the paradise;-0.03242937050105521;1;1.2666626206209057;1
10009853;1000985305;Apartamentos Turísticos DE LA BERNARDA;-0.05607208377652528;1;1.1605732403217326;1
10009967;1000996701;Apartamento Horno del Agua Cordoba;-0.09756206556463715;1;1.5144485492170896;-1
10010101;1001010101;Enjoy Spain - La Maestranza;-0.11172815923222218;1;1.1177561806124736;1
10010104;1001010401;Corralejo Secret Garden Tender Suite;-0.09892807264873449;1;1.1037373446800318;1
10010198;1001019801;Apartamento playero con vistas a la montaña;-0.0930504446639881;1;1.1088270749534241;1
10010223;1001022302;Casa Susana;-0.056123294592382356;1;1.7245365119834193;-1
10010549;1001054901;Villa de Lujo en la Costa Brava;-0.031580198552279504;1;1.0213185198117116;1
10010599;1001059901;Apartamentos la buganvilla Novales;-0.07860502856355417;1;1.0313946011027404;1
10010813;1001081301;Apartamento de playa familiar, piscina y garaje.;-0.07547393758960375;1;1.2270133966703078;1
10010848;1001084801;Mediterranean apt with seaview, 365-Day open pool and walking distance to the beach;-0.1008812018298752;1;1.0559567043228928;1
10010864;1001086402;Relax en Puerta del Sol - Caleta de Fuste;-0.10580690822117644;1;0.9942464427002139;1
10011050;1001105001;Sea views in the heart of the old town;-0.0774167633361813;1;1.085143907316873;1
10011183;1001118302;E2MA91047 - Fantastic apartment Sagrada Familia;-0.10598157844170308;1;0.974546303230573;1
10011485;1001148501;Apartamento Villa María III;-0.11729472431202881;1;0.9952714306861397;1
10011490;1001149001;Piso acogedor entre mar y montaña;-0.09004074828742642;1;0.9794094514689197;1
10011935;1001193501;Pambnb - Breathtaking Ocean View, Adult and Kids Pools & Fiber Wi-Fi;-0.08008515374133612;1;1.0477340773622177;1
10012646;1001264601;Casa 70, dúplex en Urbanización Lunamar by LaRomanaMarbella;-0.08972160765213827;1;1.0980810553147535;1
10012909;1001290901;Yellowstone Ático luminoso y acogedor;-0.07245900045717774;1;1.3082329069330207;1
10013261;1001326101;Home2Book Sunshine Apartment Playa Blanca, Terrace;-0.0831811234827236;1;1.0166571024704814;1
10013319;1001331901;Casa de piedra para 6 personas - Casa Julia;-0.053577351240069127;1;1.0770001498778403;1
10013325;1001332501;Casa Palma Pals 1;-0.0516216339382789;1;1.1439841304607004;1
10013390;1001339005;AmazINN Places Preciados;-0.07068329070613577;1;1.1186393039469533;1
10013788;1001378801;Casa Migjorn;0.022623500358775195;-1;1.059042439962635;1
10013965;1001396501;MyChoice Dadim;-0.11652390655199107;1;1.017920448891885;1
10014004;1001400402;Apartamento Columela;-0.11496894613859598;1;1.0553177907598574;1
10014020;1001402001;GALIHOST - Apartamento con vistas al Puerto de O Grove;-0.0753675132877561;1;1.2494982192792652;1
10014033;1001403301;apartamento de dos habitaciones en Quiroga;-0.08536835254837866;1;1.0639583435489113;1
10014041;1001404103;Apartamentos Turísticos Los LLanos;-0.09973067765663712;1;1.3441785533309145;1
10014222;1001422202;La Fontanilla en Estación de El Espinar;-0.047927920399351065;1;1.0737710054524072;1
10014271;1001427101;El balcón de la Penela;-0.05155879263193991;1;1.323683631723443;1
1001443;100144302;Oropesa Ciudad de Vacaciones 3000;-0.08897637692726729;1;1.0023406716666552;1
10014454;1001445402;El Faro;-0.054956162423578814;1;1.0995455640363097;1
10014526;1001452601;Alcudia Beach House;-0.04420632889469678;1;0.9687324577132728;1
10014530;1001453001;Private House 3 bedrooms with garden - Torre de la Horadada;-0.07197957650131481;1;1.0272798951609676;1
10014625;1001462501;Casabonitalasramblas;-0.07783044358111507;1;1.0745016662622888;1
10014878;1001487802;Horlandis;-0.027875858378021423;1;1.075868396570663;1
