id;room_id;name;if_score;if_anomaly;lof_score;lof_anomaly;extraction_date;lookahead_period;checkin_date;checkout_date;room_id_raw;name_raw;price;sqm;property_type;region;province;num_rooms;num_bathrooms;log_price;log_sqm;price_per_sqm;discount_pct;pool_flag;beach_flag;breakfast;price_relative_to_type;price_relative_to_province;extreme_price_high;extreme_price_low;suspected_placeholder_sqm;extreme_price_per_sqm;overcrowded_layout;excess_bathrooms;tiny_villa;huge_apartment;any_flag;log_price.1;log_sqm.1;num_rooms.1;num_bathrooms.1;price_per_sqm.1;sqm_per_room;rooms_per_sqm;baths_per_room;discount_pct.1;price_relative_to_type.1;price_relative_to_province.1;has_stars;pool_flag.1;beach_flag.1;breakfast.1;cancellation;property_type_Agroturismo;property_type_Albergue;property_type_Apartahotel;property_type_Apartamento;property_type_Barco;property_type_Bed and breakfast;property_type_Camping;property_type_Camping resort;property_type_Casa o chalet;property_type_Casa rural;property_type_Chalet de montaña;property_type_Habitación en casa particular;property_type_Hostal o pensión;property_type_Hotel;property_type_Lodge;property_type_Love hotel;property_type_Posada u hostería;property_type_Resort;property_type_Riad;property_type_Villa;region_Andalucía;region_Aragón;region_Canary Islands;region_Cantabria;region_Castilla y León;region_Castilla-La Mancha;region_Cataluña;region_Ceuta;region_Comunidad Foral de Navarra;region_Comunidad Valenciana;region_Comunidad de Madrid;region_Extremadura;region_Galicia;region_Islas Baleares;region_La Rioja;region_Melilla;region_País Vasco;region_Principado de Asturias;region_Región de Murcia;is_if_anomaly;is_lof_anomaly;if_rank;lof_rank;consensus_anomaly;agreement_group;if_percentile;lof_percentile;combined_rank
10613774;1061377402;Villa Bahari by Seaward Suites;0.0019328164542309;-1;1.5084661909799653;-1;2026-09-13;3m;2026-12-19;2026-12-26;1061377402;Villa Bahari by Seaward Suites;4098.04;85.0;Villa;Comunidad Valenciana;Alicante;5.0;1.0;8.318508078934402;4.454347296253507;48.21223529411765;0.1982557515299997;1;0;0;1.6197786561264822;4.410644186162024;True;False;False;False;False;False;False;False;True;-0.4599998600578343;-0.0995494051565793;0.0;1.0;-0.344860995896011;-0.3947368421052631;0.5677114133648731;0.5;0.0;-0.3553740446267655;-0.3638202340488675;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;4243.0;2969.0;True;Both;95.41241740296537;96.79020623573815;96.10131181935176
10648089;1064808901;EL TRASTERO DE PALMERO;0.002166236890403;-1;1.643277914772304;-1;2026-09-13;3m;2026-12-19;2026-12-26;1064808901;EL TRASTERO DE PALMERO;437.84;39.0;Hostal o pensión;Galicia;La Coruña;0.0;0.0;6.08413488194929;3.688879454113936;11.226666666666668;0.0;0;1;0;0.8328070909575075;0.5660504201680672;False;False;False;False;False;False;False;False;False;-0.4326379297642322;-0.7485553552860215;-0.5;0.0;0.3125912445647384;0.0;0.1729745712596098;0.5;0.0;-0.3327718074446541;-0.0495869080762863;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;4214.0;1640.0;True;Both;95.44377994311483;98.22747574810474;96.83562784560979
10694260;1069426011;Villa con piscina VILLA ALICIA LA PERLA INDIANA;0.0573042291177191;-1;1.4309323282168245;-1;2026-09-13;3m;2026-12-19;2026-12-26;1069426011;Villa con piscina VILLA ALICIA LA PERLA INDIANA;7834.9091;188.0;Villa;Principado de Asturias;Principado de Asturias;10.0;4.0;8.966472178690868;5.241747015059643;41.67504840425532;0.0;0;0;0;3.0968020158102765;8.924399323150212;True;False;False;False;False;False;False;False;True;0.1799548595304933;0.1105920547415348;0.0;1.0;0.0415079231415677;-0.1052631578947368;0.2630022720906346;0.5;5.421171526393943;0.317267272099214;0.3735122208261924;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;530.0;4349.0;True;Both;99.4279040089978;95.2977819113846;97.3628429601912
10708734;1070873402;Solo Atico Guest Suites;0.0406668754206512;-1;1.570337323683776;-1;2026-09-13;3m;2026-12-19;2026-12-26;1070873402;Solo Atico Guest Suites;1663.13;12.0;Bed and breakfast;Cataluña;Gerona;0.0;0.0;7.417057743329555;2.5649493574615367;138.59416666666667;0.3573803611263099;1;1;0;2.554436892831087;1.5493965465038826;False;False;False;True;False;False;False;False;True;-0.5718603364020916;-0.2069451604179898;0.0;0.0;-0.3493722043390044;-0.5263157894736842;0.743150009856101;-0.5;0.0;-0.7251512904240421;-0.1017248745454268;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;999.0;2242.0;True;Both;98.92069603209794;97.57643267327803;98.24856435268799
1100674;110067404;Casa Balmes;0.0076313202589116;-1;1.9855503575372029;-1;2026-09-13;3m;2026-12-19;2026-12-26;110067404;Casa Balmes;2477.3;500.0;Bed and breakfast;Cataluña;Barcelona;0.0;0.0;7.815328120236569;6.2166061010848646;4.9546;0.0;0;0;0;3.8049379871750566;1.744135289644879;False;False;False;False;False;False;False;False;False;-1.0021203236387295;-0.7485553552860215;-0.5;0.0;-0.2666060816953756;0.0;0.1729745712596098;0.5;0.0;-0.7190918320793073;-0.5783705022537137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;True;True;3358.0;565.0;True;Both;96.36951561097472;99.39005266743811;97.87978413920641
11010173;1101017301;Casa Rural Pet Friendly con 10000 m2 de finca y piscina;0.0300998681571558;-1;1.445529035781219;-1;2026-09-13;3m;2026-12-19;2026-12-26;1101017301;Casa Rural Pet Friendly con 10000 m2 de finca y piscina;934.46;600.0;Chalet de montaña;Comunidad Valenciana;Valencia;3.0;1.0;6.841038386916515;6.398594934535208;1.5574333333333334;0.416326006463626;1;0;0;0.6247559703687856;1.019768699574467;False;False;False;False;False;False;False;False;False;-0.3134887982795885;-0.2069451604179898;0.0;0.0;-0.1351261840100683;-0.5263157894736842;0.743150009856101;-0.5;0.0;-0.2287194985190505;-0.2438540753554433;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;1464.0;4038.0;True;Both;98.4178139228049;95.634118117815;97.02596602030995
11028296;1102829601;Beachfront Villa La Luisa, Golden Mile, Marbella;0.0796744143916318;-1;1.6268936859589762;-1;2026-09-13;3m;2026-12-19;2026-12-26;1102829601;Beachfront Villa La Luisa, Golden Mile, Marbella;30118.0;302.0;Villa;Andalucía;Málaga;5.0;6.0;10.312911480831472;5.713732805509369;99.72847682119205;0.0;0;0;0;11.904347826086957;31.34352884342504;True;False;False;True;False;False;False;False;True;1.5846062457977212;0.0;-0.5;0.0;2.999108643186091;1.5789473684210529;-0.5601081355073076;0.5;1.200580709124766;3.6310107602628863;2.4427258148653785;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;215.0;1745.0;True;Both;99.76856608303503;98.11392172342566;98.94124390323034
11106567;1110656701;Casa Palacio El Trasquilon;0.0658485741398761;-1;1.443221867710602;-1;2026-09-13;3m;2026-12-19;2026-12-26;1110656701;Casa Palacio El Trasquilon;4632.5;28.0;Villa;Extremadura;Cáceres;5.0;5.0;8.441067801026746;3.367295829986474;165.44642857142858;0.0;0;0;0;1.8310276679841897;6.679403071155649;True;False;False;True;False;False;True;False;True;-1.5398248915445047;-0.8884956644884546;-0.5;0.0;-0.5468019877939252;-0.2105263157894736;0.3630330507917734;0.5;0.7720528996275883;-0.9590570871150876;-0.9083320123530466;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;380.0;4084.0;True;Both;99.59012404425363;95.58437064033656;97.58724734229509
11124325;1112432507;Alojamiento Valladolid;0.0158354090577135;-1;1.512712264208178;-1;2026-09-13;3m;2026-12-19;2026-12-26;1112432507;Alojamiento Valladolid;849.93;284.0;Hostal o pensión;Castilla y León;Valladolid;0.0;0.0;6.746329869020937;5.652489180268651;2.9927112676056336;0.0;0;0;0;1.616635599345684;1.102387839012179;False;False;False;False;False;False;False;False;False;0.5139408930928413;0.3383237084222024;0.0;1.0;0.1616757592859416;0.2631578947368421;-0.0170839082725539;0.5;2.142171518551875;0.8207151497096944;1.064630146741095;0.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;2435.0;2903.0;True;Both;97.36770956124889;96.86158305125072;97.1146463062498
11202176;1120217601;El Valle Hotel Rural;0.0076819895619149;-1;1.4862502800242277;-1;2026-09-13;3m;2026-12-19;2026-12-26;1120217601;El Valle Hotel Rural;788.18;12.0;Hostal o pensión;Castilla y León;Soria;0.0;0.0;6.670994431708742;2.5649493574615367;65.68166666666666;0.0784338602857216;0;0;0;1.499182105223114;0.866131868131868;False;False;False;True;False;False;False;False;True;-0.6044395066825705;-0.0995494051565793;0.0;0.0;-0.4480803555287599;-0.3947368421052631;0.5677114133648731;-0.5;1.0443628277969026;-0.4672495982434559;-0.4640945124381233;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;True;True;3349.0;3296.0;True;Both;96.37924881309007;96.43656655888047;96.40790768598526
