id;nombre;idHabitacion;nombreHabitacion;idLocalizacion;nombreCCAA;nombreProvincia;nombreMunicipio;nombreLocalizacion;tipo;numHabitaciones;numBanos;metros;piscina_flag;playa_flag;estrellas;precio;oferta;precioSinOferta;capacidad;desayuno;cancelacion;fechaActual;fechaEntrada;fechaSalida
10000125;Apartamentos Villa Zoila Nigrán;1000012502;Apartamento de 1 dormitorio;-394030;Galicia;Pontevedra;Nigrán;Nigrán;Apartamento;1;1;55;0;1;4.0;1108.97;107.82999999999993;1216.8;2;0;0;2026-08-19;2026-09-19;2026-09-26
10000734;Hostal Carlos III;1000073405;Habitación Deluxe - 1 cama grande;-398093;Andalucía;Córdoba;Victoria, La;Aldea Quintana;Hostal o pensión;0;0; ;0;0;3.0;420.0;0.0;0.0;2;0;1;2026-08-19;2026-09-19;2026-09-26
10001060;Apartamento Ría Villaviciosa;1000106001;Apartamento de 2 dormitorios;-408639;Principado de Asturias;Principado de Asturias;Villaviciosa;Villaviciosa;Apartamento;2;2;70;0;0;3.0;780.7;75.90999999999997;856.61;2;0;1;2026-08-19;2026-09-19;2026-09-26
1000112;La Vista de Medina By La Vista Medina Stays;100011202;Estudio;-391732;Andalucía;Cádiz;Medina-Sidonia;Medina Sidonia;Apartamento;1;1;25;1;0;2.0;630.0;0.0;0.0;2;0;1;2026-08-19;2026-09-19;2026-09-26
10001512;Marbella Golf 103 By Pride Holiday Rentals;1000151201;Bungalow de 2 dormitorios;-400492;Islas Canarias;Gran Canaria;San Bartolomé de Tirajana;San Bartolomé;Casa o chalet;2;1;70;1;0;4.0;781.5001;0.0;0.0;2;0;1;2026-08-19;2026-09-19;2026-09-26
10001549;Amaya;1000154902;Casa;-372154;Cataluña;Gerona;Begur;Begur;Casa o chalet;1;2;160;0;0;4.0;2742.0201;0.0;0.0;2;0;0;2026-08-19;2026-09-19;2026-09-26
10001694;Catalonia;1000169402;Casa;-372154;Cataluña;Gerona;Begur;Begur;Casa o chalet;3;2;120;0;0;4.0;2561.02;0.0;0.0;2;0;0;2026-08-19;2026-09-19;2026-09-26
10001717;Es pins;1000171702;Casa;-372154;Cataluña;Gerona;Begur;Begur;Casa o chalet;3;2;150;0;0;4.0;2291.02;0.0;0.0;2;0;0;2026-08-19;2026-09-19;2026-09-26
10001727;Gaia;1000172702;Casa;-372154;Cataluña;Gerona;Begur;Begur;Casa o chalet;2;2;210;0;0;4.0;3254.02;0.0;0.0;2;0;0;2026-08-19;2026-09-19;2026-09-26
10001758;León;1000175802;Apartamento;-372154;Cataluña;Gerona;Begur;Begur;Apartamento;1;1;70;0;0;4.0;1120.02;0.0;0.0;2;0;1;2026-08-19;2026-09-19;2026-09-26
10001912;Pinetells;1000191202;Casa;-372154;Cataluña;Gerona;Begur;Begur;Casa o chalet;4;3;160;0;0;4.0;3262.02;0.0;0.0;2;0;0;2026-08-19;2026-09-19;2026-09-26
10002015;CaYoli;1000201501;Apartamento de 2 dormitorios;-396555;Principado de Asturias;Principado de Asturias;Castrillón;Piedras Blancas;Apartamento;2;2;60;0;0;3.0;623.7;69.29999999999995;693.0;2;0;1;2026-08-19;2026-09-19;2026-09-26
10002045;Torreta;1000204502;Casa;-372154;Cataluña;Gerona;Begur;Begur;Casa o chalet;4;3;140;0;0;4.0;2378.02;0.0;0.0;2;0;0;2026-08-19;2026-09-19;2026-09-26
10002079;Casa Ana;1000207902;Casa;-406798;Andalucía;Cádiz;Vejer de la Frontera;Vejer de la Frontera;Casa o chalet;2;1;70;0;0;4.0;755.1;0.0;0.0;2;0;0;2026-08-19;2026-09-19;2026-09-26
10002403;Casa Sunchill;1000240302;Apartamento Premium de 3 dormitorios con balcón;-391076;Andalucía;Málaga;Marbella;Marbella;Apartamento;3;2;128;1;0;4.0;1818.96;181.65999999999985;2000.62;2;0;0;2026-08-19;2026-09-19;2026-09-26
10002475;Casa Señores Cura 1 - Solo Familias;1000247502;Apartamento Superior con vistas a la ciudad;-378657;Andalucía;Cádiz;Conil de la Frontera;Conil de la Frontera;Apartamento;2;1;60;0;0;3.0;979.15;0.0;0.0;2;0;1;2026-08-19;2026-09-19;2026-09-26
10002553;Esparto y sal;1000255301;Casa de 2 dormitorios;-381065;Andalucía;Almería;Níjar;El Pozo de los Frailes;Casa o chalet;2;1;70;0;0;3.0;717.72;69.77999999999997;787.5;2;0;0;2026-08-19;2026-09-19;2026-09-26
10002623;Encantadora casa rural Can Vidal;1000262301;Casa de 3 dormitorios;-381931;Cataluña;Gerona;Espolla;Espolla;Casa o chalet;3;1;95;0;0;3.0;937.0201;0.0;0.0;2;0;1;2026-08-19;2026-09-19;2026-09-26
10002634;Nerja Sun Apartamento Bronce B Centro;1000263402;Apartamento de 1 dormitorio;-393985;Andalucía;Málaga;Nerja;Nerja;Apartamento;1;1;45;0;0;3.0;858.94;75.05999999999995;934.0;2;0;1;2026-08-19;2026-09-19;2026-09-26
10002818;Castilla Termal Brihuega;1000281805;Loft Superior con acceso al spa;-374169;Castilla-La Mancha;Guadalajara;Brihuega;Brihuega;Hotel;0;0; ;1;0;5.0;1979.25;192.44999999999982;2171.7;2;1;0;2026-08-19;2026-09-19;2026-09-26
10002915;Cosy Loft's Valencia;1000291505;Apartamento de 1 dormitorio;-377302;Comunidad Valenciana;Valencia;Catarroja;Catarroja;Apartamento;1;1;62;0;0;4.0;699.8;110.80000000000007;810.6;2;0;0;2026-08-19;2026-09-19;2026-09-26
10002916;Bonita Casa Jardín Privado 5min a pie de Playa;1000291601;Casa de 4 dormitorios;-399526;Cataluña;Tarragona;Roda de Berà;Roda de Bará;Casa o chalet;4;2;140;0;0;3.0;1577.28;339.74;1917.02;2;0;0;2026-08-19;2026-09-19;2026-09-26
10003115;Sweet House Las Canteras;1000311501;Apartamento de 1 dormitorio;-388528;Islas Canarias;Gran Canaria;Palmas de Gran Canaria, Las;Las Palmas de Gran Canaria;Apartamento;1;1;40;0;0; ;447.48;44.71999999999997;492.2;2;0;1;2026-08-19;2026-09-19;2026-09-26
10003219;VillaMar;1000321901;Villa de 3 dormitorios;-408593;Islas Canarias;Fuerteventura;Oliva, La;Villaverde;Villa;3;2;130;0;0;4.0;756.0001;0.0;0.0;2;0;0;2026-08-19;2026-09-19;2026-09-26
10003325;O Enxidro PLAYA, a 40 m de Playa Jardín;1000332501;Apartamento de 3 dormitorios;-373825;Galicia;La Coruña;Boiro;Boiro;Apartamento;3;2;100;0;1;4.0;1575.0;0.0;0.0;2;0;0;2026-08-19;2026-09-19;2026-09-26
10003431;Ca la Senyora dels Arbres;1000343102;Casa;-371689;Islas Baleares;Mallorca;Artà;Artà;Casa o chalet;4;3;270;1;0;4.0;3237.31;0.0;0.0;2;0;1;2026-08-19;2026-09-19;2026-09-26
10003443;VILLA LUZ SUITE;1000344301;Villa de 1 dormitorio;-391429;Islas Canarias;Gran Canaria;San Bartolomé de Tirajana;Maspalomas;Villa;1;2;49;0;0;4.0;594.71;54.09999999999991;648.81;2;0;0;2026-08-19;2026-09-19;2026-09-26
