-18.04263932;27.61024358;0.1;62;España
-18.14263932;27.71024358;0.1;8;España
-18.04263932;27.71024358;0.05;76;España
-17.99263932;27.71024358;0.05;32;España
-18.04263932;27.76024358;0.05;30;España
-17.99263932;27.76024358;0.05;26;España
-17.94263932;27.71024358;0.1;26;España
-15.69263932;27.71024358;0.05;25;España
-15.71763932;27.76024358;0.025;51;España
-15.74263932;27.78524358;0.0125;1;España
-15.73013932;27.78524358;0.0125;31;España
-15.74263932;27.79774358;0.0125;55;España
-15.73013932;27.79774358;0.0125;23;España
-15.71763932;27.78524358;0.00625;61;España
-15.71138932;27.78524358;0.00625;50;España
-15.71763932;27.79149358;0.00625;24;España
-15.71138932;27.79149358;0.00625;29;España
-15.70513932;27.78524358;0.0125;34;España
-15.71763932;27.79774358;0.0125;29;España
-15.70513932;27.79774358;0.0125;1;España
-15.69263932;27.76024358;0.025;88;España
-15.66763932;27.76024358;0.025;66;España
-15.66763932;27.78524358;0.025;35;España
-15.64263932;27.73524358;0.025;34;España
-15.61763932;27.73524358;0.0125;32;España
-15.60513932;27.73524358;0.0125;28;España
-15.61763932;27.74774358;0.0125;33;España
-15.60513932;27.74774358;0.00625;13;España
-15.59888932;27.74774358;0.00625;14;España
-15.60513932;27.75399358;0.00625;48;España
-15.59888932;27.75399358;0.00625;25;España
-15.58013932;27.73524358;0.0125;5;España
-15.59263932;27.74774358;0.00625;13;España
-15.58638932;27.74774358;0.00625;13;España
-15.59263932;27.75399358;0.00625;95;España
-15.58638932;27.75399358;0.00625;35;España
-15.58013932;27.74774358;0.00625;65;España
-15.57388932;27.74774358;0.00625;34;España
-15.58013932;27.75399358;0.003125;56;España
-15.57701432;27.75399358;0.003125;10;España
-15.58013932;27.75711858;0.003125;20;España
-15.57701432;27.75711858;0.003125;25;España
-15.57388932;27.75399358;0.003125;16;España
-15.57076432;27.75399358;0.003125;16;España
-15.57388932;27.75711858;0.003125;43;España
-15.57076432;27.75711858;0.003125;46;España
-15.56763932;27.73524358;0.025;16;España
-15.64263932;27.76024358;0.05;96;España
-15.59263932;27.76024358;0.0125;57;España
-15.58013932;27.76024358;0.00625;81;España
-15.57388932;27.76024358;0.00625;31;España
-15.58013932;27.76649358;0.00625;7;España
