index;x;y;inc;mixed;status;alojamientos;attempts;elapsed_seconds;error
0;-18.04263932;27.61024358;0.1;False;ok;74;1;1.604;
1;-18.14263932;27.71024358;0.1;False;ok;15;1;1.488;
2;-18.04263932;27.71024358;0.05;False;ok;75;1;1.609;
3;-17.99263932;27.71024358;0.05;False;ok;48;1;1.597;
4;-18.04263932;27.76024358;0.05;False;ok;32;1;1.484;
5;-17.99263932;27.76024358;0.05;False;ok;34;1;1.557;
6;-17.94263932;27.71024358;0.1;False;ok;38;1;1.519;
7;-15.69263932;27.71024358;0.05;False;ok;64;1;1.568;
8;-15.71763932;27.76024358;0.025;False;ok;72;1;1.644;
9;-15.74263932;27.78524358;0.0125;False;ok;1;1;1.369;
10;-15.73013932;27.78524358;0.0125;False;ok;34;1;1.460;
11;-15.74263932;27.79774358;0.0125;False;ok;71;1;1.634;
12;-15.73013932;27.79774358;0.0125;False;ok;40;1;1.470;
13;-15.71763932;27.78524358;0.00625;False;ok;74;1;1.610;
14;-15.71138932;27.78524358;0.00625;False;ok;72;1;1.666;
15;-15.71763932;27.79149358;0.00625;False;ok;44;1;1.486;
16;-15.71138932;27.79149358;0.00625;False;ok;71;1;1.674;
17;-15.70513932;27.78524358;0.0125;False;ok;53;1;1.542;
18;-15.71763932;27.79774358;0.0125;False;ok;46;1;1.580;
19;-15.70513932;27.79774358;0.0125;False;ok;3;1;1.386;
20;-15.69263932;27.76024358;0.025;False;ok;74;1;1.044;
21;-15.66763932;27.76024358;0.025;False;ok;73;1;0.978;
22;-15.66763932;27.78524358;0.025;False;ok;66;1;1.446;
23;-15.64263932;27.73524358;0.025;False;ok;56;1;1.397;
24;-15.61763932;27.73524358;0.0125;False;ok;55;1;1.378;
25;-15.60513932;27.73524358;0.0125;False;ok;42;1;1.429;
26;-15.61763932;27.74774358;0.0125;False;ok;52;1;1.484;
27;-15.60513932;27.74774358;0.00625;False;ok;42;1;1.416;
28;-15.59888932;27.74774358;0.00625;False;ok;40;1;1.471;
29;-15.60513932;27.75399358;0.00625;False;ok;74;1;1.607;
30;-15.59888932;27.75399358;0.00625;False;ok;58;1;1.561;
31;-15.58013932;27.73524358;0.0125;False;ok;5;1;1.429;
32;-15.59263932;27.74774358;0.00625;False;ok;23;1;1.588;
33;-15.58638932;27.74774358;0.00625;False;ok;22;1;1.454;
34;-15.59263932;27.75399358;0.00625;False;ok;71;1;1.625;
35;-15.58638932;27.75399358;0.00625;False;ok;45;1;1.483;
36;-15.58013932;27.74774358;0.00625;False;ok;74;1;1.560;
37;-15.57388932;27.74774358;0.00625;False;ok;45;1;1.478;
38;-15.58013932;27.75399358;0.003125;False;ok;74;1;1.518;
39;-15.57701432;27.75399358;0.003125;False;ok;14;1;1.413;
