index;x;y;inc;mixed;status;alojamientos;attempts;elapsed_seconds;error
0;-18.04263932;27.61024358;0.1;False;ok;72;1;2.805;
1;-18.14263932;27.71024358;0.1;False;ok;15;1;2.613;
2;-18.04263932;27.71024358;0.05;False;ok;74;1;2.681;
3;-17.99263932;27.71024358;0.05;False;ok;48;1;2.563;
4;-18.04263932;27.76024358;0.05;False;ok;32;1;2.699;
5;-17.99263932;27.76024358;0.05;False;ok;34;1;2.520;
6;-17.94263932;27.71024358;0.1;False;ok;38;1;2.545;
7;-15.69263932;27.71024358;0.05;False;ok;66;1;2.810;
8;-15.71763932;27.76024358;0.025;False;ok;72;1;3.043;
9;-15.74263932;27.78524358;0.0125;False;ok;1;1;2.390;
10;-15.73013932;27.78524358;0.0125;False;ok;35;1;2.825;
11;-15.74263932;27.79774358;0.0125;False;ok;70;1;3.064;
12;-15.73013932;27.79774358;0.0125;False;ok;39;1;2.917;
13;-15.71763932;27.78524358;0.00625;False;ok;75;1;3.054;
14;-15.71138932;27.78524358;0.00625;False;ok;75;1;2.791;
15;-15.71763932;27.79149358;0.00625;False;ok;44;1;2.808;
16;-15.71138932;27.79149358;0.00625;False;ok;74;1;3.046;
17;-15.70513932;27.78524358;0.0125;False;ok;56;1;2.920;
18;-15.71763932;27.79774358;0.0125;False;ok;47;1;2.697;
19;-15.70513932;27.79774358;0.0125;False;ok;3;1;2.672;
20;-15.69263932;27.76024358;0.025;False;ok;74;1;0.950;
21;-15.66763932;27.76024358;0.025;False;ok;73;1;1.041;
22;-15.66763932;27.78524358;0.025;False;ok;66;1;1.052;
23;-15.64263932;27.73524358;0.025;False;ok;57;1;1.052;
24;-15.61763932;27.73524358;0.0125;False;ok;56;1;1.278;
25;-15.60513932;27.73524358;0.0125;False;ok;42;1;1.174;
26;-15.61763932;27.74774358;0.0125;False;ok;51;1;2.096;
27;-15.60513932;27.74774358;0.00625;False;ok;43;1;2.221;
28;-15.59888932;27.74774358;0.00625;False;ok;39;1;3.579;
29;-15.60513932;27.75399358;0.00625;False;ok;73;1;3.160;
30;-15.59888932;27.75399358;0.00625;False;ok;58;1;4.947;
31;-15.58013932;27.73524358;0.0125;False;ok;5;1;4.784;
32;-15.59263932;27.74774358;0.00625;False;ok;23;1;4.888;
33;-15.58638932;27.74774358;0.00625;False;ok;22;1;3.950;
34;-15.59263932;27.75399358;0.00625;False;ok;74;1;5.037;
35;-15.58638932;27.75399358;0.00625;False;ok;45;1;5.224;
36;-15.58013932;27.74774358;0.00625;False;ok;74;1;5.034;
37;-15.57388932;27.74774358;0.00625;False;ok;46;1;4.987;
38;-15.58013932;27.75399358;0.003125;False;ok;72;1;4.361;
39;-15.57701432;27.75399358;0.003125;False;ok;15;1;4.631;
40;-15.58013932;27.75711858;0.003125;False;ok;46;1;4.400;
41;-15.57701432;27.75711858;0.003125;False;ok;42;1;4.221;
42;-15.57388932;27.75399358;0.003125;False;ok;25;1;4.075;
43;-15.57076432;27.75399358;0.003125;False;ok;17;1;3.576;
44;-15.57388932;27.75711858;0.003125;False;ok;74;1;3.838;
45;-15.57076432;27.75711858;0.003125;False;ok;74;1;4.063;
46;-15.56763932;27.73524358;0.025;False;ok;25;1;3.250;
47;-15.64263932;27.76024358;0.05;False;ok;73;1;3.404;
48;-15.59263932;27.76024358;0.0125;False;ok;74;1;2.075;
49;-15.58013932;27.76024358;0.00625;False;ok;75;1;1.993;
50;-15.57388932;27.76024358;0.00625;False;ok;51;1;1.497;
51;-15.58013932;27.76649358;0.00625;False;ok;12;1;1.079;
52;-15.57388932;27.76649358;0.00625;False;ok;6;1;1.026;
53;-15.59263932;27.77274358;0.0125;False;ok;0;1;2.301;
54;-15.56763932;27.76024358;0.00625;False;ok;75;1;3.936;
55;-15.56138932;27.76024358;0.00625;False;ok;18;1;2.302;
56;-15.56138932;27.76649358;0.00625;False;ok;3;1;2.259;
57;-15.55513932;27.76024358;0.00625;False;ok;16;1;2.398;
58;-15.55513932;27.76649358;0.00625;False;ok;74;1;2.575;
59;-15.54888932;27.76649358;0.00625;False;ok;74;1;2.622;
60;-15.55513932;27.77274358;0.0125;False;ok;9;1;2.179;
61;-15.54263932;27.76024358;0.0125;False;ok;75;1;4.943;
62;-15.54263932;27.77274358;0.0125;False;ok;25;1;4.337;
63;-15.53013932;27.77274358;0.0125;False;ok;73;1;3.391;
64;-15.51763932;27.76024358;0.025;False;ok;7;1;4.231;
65;-15.49263932;27.76024358;0.05;False;ok;20;1;4.117;
66;-18.04263932;27.81024358;0.1;False;ok;32;1;3.465;
67;-17.94263932;27.81024358;0.1;False;ok;69;1;3.416;
68;-15.76763932;27.81024358;0.00625;False;ok;1;1;4.496;
69;-15.76763932;27.81649358;0.003125;False;ok;70;1;4.291;
70;-15.76451432;27.81649358;0.003125;False;ok;75;1;4.566;
71;-15.76451432;27.81961858;0.003125;False;ok;28;1;4.566;
72;-15.76138932;27.81649358;0.00625;False;ok;14;1;4.855;
73;-15.75513932;27.81024358;0.0125;False;ok;41;1;2.211;
74;-15.76763932;27.82274358;0.0125;False;ok;23;1;2.163;
75;-15.76763932;27.83524358;0.025;False;ok;15;1;2.183;
76;-15.84263932;27.86024358;0.05;False;ok;11;1;2.083;
77;-15.74263932;27.81024358;0.1;False;ok;46;1;2.448;
78;-15.64263932;27.81024358;0.1;False;ok;55;1;2.157;
79;-15.54263932;27.81024358;0.1;False;ok;74;1;2.411;
80;-15.44263932;27.81024358;0.05;False;ok;75;1;1.742;
81;-15.39263932;27.81024358;0.05;False;ok;40;1;1.523;
