index;x;y;inc;mixed;status;alojamientos;attempts;elapsed_seconds;error
0;-18.04263932;27.61024358;0.1;False;ok;72;1;0.651;
1;-18.14263932;27.71024358;0.1;False;ok;13;1;0.601;
2;-18.04263932;27.71024358;0.05;False;ok;74;1;0.664;
3;-17.99263932;27.71024358;0.05;False;ok;48;1;0.633;
4;-18.04263932;27.76024358;0.05;False;ok;32;1;0.639;
5;-17.99263932;27.76024358;0.05;False;ok;34;1;0.574;
6;-17.94263932;27.71024358;0.1;False;ok;38;1;0.551;
7;-15.69263932;27.71024358;0.05;False;ok;68;1;0.676;
8;-15.71763932;27.76024358;0.025;False;ok;72;1;0.712;
9;-15.74263932;27.78524358;0.0125;False;ok;0;1;1.155;
10;-15.73013932;27.78524358;0.0125;False;ok;34;1;0.616;
11;-15.74263932;27.79774358;0.0125;False;ok;74;1;0.736;
12;-15.73013932;27.79774358;0.0125;False;ok;38;1;0.752;
13;-15.71763932;27.78524358;0.00625;False;ok;75;1;0.792;
14;-15.71138932;27.78524358;0.00625;False;ok;75;1;0.642;
15;-15.71763932;27.79149358;0.00625;False;ok;44;1;0.595;
16;-15.71138932;27.79149358;0.00625;False;ok;74;1;0.624;
17;-15.70513932;27.78524358;0.0125;False;ok;55;1;0.571;
18;-15.71763932;27.79774358;0.0125;False;ok;46;1;0.529;
19;-15.70513932;27.79774358;0.0125;False;ok;3;1;0.381;
20;-15.69263932;27.76024358;0.025;False;ok;74;1;0.781;
21;-15.66763932;27.76024358;0.025;False;ok;74;1;0.560;
22;-15.66763932;27.78524358;0.025;False;ok;66;1;0.692;
23;-15.64263932;27.73524358;0.025;False;ok;58;1;0.622;
24;-15.61763932;27.73524358;0.0125;False;ok;59;1;0.573;
25;-15.60513932;27.73524358;0.0125;False;ok;43;1;0.581;
26;-15.61763932;27.74774358;0.0125;False;ok;53;1;0.568;
27;-15.60513932;27.74774358;0.00625;False;ok;43;1;0.655;
28;-15.59888932;27.74774358;0.00625;False;ok;38;1;0.574;
29;-15.60513932;27.75399358;0.00625;False;ok;73;1;0.581;
30;-15.59888932;27.75399358;0.00625;False;ok;60;1;0.617;
31;-15.58013932;27.73524358;0.0125;False;ok;8;1;0.508;
32;-15.59263932;27.74774358;0.00625;False;ok;24;1;0.569;
33;-15.58638932;27.74774358;0.00625;False;ok;23;1;0.583;
34;-15.59263932;27.75399358;0.00625;False;ok;75;1;0.671;
35;-15.58638932;27.75399358;0.00625;False;ok;46;1;0.560;
36;-15.58013932;27.74774358;0.00625;False;ok;74;1;0.621;
37;-15.57388932;27.74774358;0.00625;False;ok;46;1;0.503;
38;-15.58013932;27.75399358;0.003125;False;ok;74;1;0.558;
39;-15.57701432;27.75399358;0.003125;False;ok;15;1;0.513;
40;-15.58013932;27.75711858;0.003125;False;ok;48;1;0.565;
41;-15.57701432;27.75711858;0.003125;False;ok;41;1;0.667;
42;-15.57388932;27.75399358;0.003125;False;ok;25;1;0.588;
43;-15.57076432;27.75399358;0.003125;False;ok;19;1;0.447;
44;-15.57388932;27.75711858;0.003125;False;ok;74;1;0.630;
45;-15.57076432;27.75711858;0.003125;False;ok;74;1;0.651;
46;-15.56763932;27.73524358;0.025;False;ok;26;1;0.539;
47;-15.64263932;27.76024358;0.05;False;ok;75;1;0.686;
48;-15.59263932;27.76024358;0.0125;False;ok;74;1;0.725;
49;-15.58013932;27.76024358;0.00625;False;ok;75;1;0.656;
50;-15.57388932;27.76024358;0.00625;False;ok;53;1;0.589;
51;-15.58013932;27.76649358;0.00625;False;ok;12;1;0.460;
52;-15.57388932;27.76649358;0.00625;False;ok;6;1;0.452;
53;-15.59263932;27.77274358;0.0125;False;ok;0;1;1.127;
54;-15.56763932;27.76024358;0.00625;False;ok;74;1;0.623;
55;-15.56138932;27.76024358;0.00625;False;ok;18;1;0.488;
56;-15.56138932;27.76649358;0.00625;False;ok;3;1;0.472;
57;-15.55513932;27.76024358;0.00625;False;ok;16;1;0.515;
58;-15.55513932;27.76649358;0.00625;False;ok;74;1;0.722;
59;-15.54888932;27.76649358;0.00625;False;ok;74;1;0.588;
60;-15.55513932;27.77274358;0.0125;False;ok;10;1;0.448;
61;-15.54263932;27.76024358;0.0125;False;ok;75;1;0.759;
62;-15.54263932;27.77274358;0.0125;False;ok;27;1;0.586;
63;-15.53013932;27.77274358;0.0125;False;ok;72;1;0.671;
64;-15.51763932;27.76024358;0.025;False;ok;8;1;0.609;
