index;x;y;inc;mixed;status;alojamientos;attempts;elapsed_seconds;error
0;-18.04263932;27.61024358;0.1;False;ok;72;1;10.662;
1;-18.14263932;27.71024358;0.1;False;ok;14;1;10.195;
2;-18.04263932;27.71024358;0.05;False;ok;75;1;10.244;
3;-17.99263932;27.71024358;0.05;False;ok;48;1;10.291;
4;-18.04263932;27.76024358;0.05;False;ok;33;1;10.002;
5;-17.99263932;27.76024358;0.05;False;ok;34;1;10.170;
6;-17.94263932;27.71024358;0.1;False;ok;38;1;10.331;
7;-15.69263932;27.71024358;0.05;False;ok;66;1;10.571;
8;-15.71763932;27.76024358;0.025;False;ok;72;1;10.484;
9;-15.74263932;27.78524358;0.0125;False;ok;1;1;6.858;
10;-15.73013932;27.78524358;0.0125;False;ok;35;1;7.765;
11;-15.74263932;27.79774358;0.0125;False;ok;71;1;7.914;
12;-15.73013932;27.79774358;0.0125;False;ok;40;1;7.573;
13;-15.71763932;27.78524358;0.00625;False;ok;75;1;8.169;
14;-15.71138932;27.78524358;0.00625;False;ok;74;1;7.725;
15;-15.71763932;27.79149358;0.00625;False;ok;44;1;10.445;
16;-15.71138932;27.79149358;0.00625;False;ok;73;1;10.605;
17;-15.70513932;27.78524358;0.0125;False;ok;55;1;10.142;
18;-15.71763932;27.79774358;0.0125;False;ok;46;1;10.272;
19;-15.70513932;27.79774358;0.0125;False;ok;3;1;9.527;
20;-15.69263932;27.76024358;0.025;False;ok;75;1;3.839;
21;-15.66763932;27.76024358;0.025;False;ok;73;1;3.202;
22;-15.66763932;27.78524358;0.025;False;ok;67;1;3.753;
23;-15.64263932;27.73524358;0.025;False;ok;56;1;3.606;
24;-15.61763932;27.73524358;0.0125;False;ok;56;1;3.479;
25;-15.60513932;27.73524358;0.0125;False;ok;42;1;3.284;
26;-15.61763932;27.74774358;0.0125;False;ok;53;1;3.203;
27;-15.60513932;27.74774358;0.00625;False;ok;44;1;7.021;
28;-15.59888932;27.74774358;0.00625;False;ok;39;1;6.368;
29;-15.60513932;27.75399358;0.00625;False;ok;73;1;7.073;
30;-15.59888932;27.75399358;0.00625;False;ok;60;1;6.785;
31;-15.58013932;27.73524358;0.0125;False;ok;6;1;6.749;
32;-15.59263932;27.74774358;0.00625;False;ok;23;1;5.812;
33;-15.58638932;27.74774358;0.00625;False;ok;23;1;5.730;
34;-15.59263932;27.75399358;0.00625;False;ok;74;1;6.992;
35;-15.58638932;27.75399358;0.00625;False;ok;47;1;6.607;
36;-15.58013932;27.74774358;0.00625;False;ok;74;1;6.721;
37;-15.57388932;27.74774358;0.00625;False;ok;46;1;6.807;
38;-15.58013932;27.75399358;0.003125;False;ok;74;1;7.197;
39;-15.57701432;27.75399358;0.003125;False;ok;14;1;6.972;
40;-15.58013932;27.75711858;0.003125;False;ok;49;1;2.785;
41;-15.57701432;27.75711858;0.003125;False;ok;42;1;3.347;
42;-15.57388932;27.75399358;0.003125;False;ok;24;1;3.899;
43;-15.57076432;27.75399358;0.003125;False;ok;19;1;3.778;
44;-15.57388932;27.75711858;0.003125;False;ok;75;1;3.643;
45;-15.57076432;27.75711858;0.003125;False;ok;75;1;4.584;
46;-15.56763932;27.73524358;0.025;False;ok;26;1;4.660;
47;-15.64263932;27.76024358;0.05;False;ok;74;1;4.883;
48;-15.59263932;27.76024358;0.0125;False;ok;74;1;3.995;
49;-15.58013932;27.76024358;0.00625;False;ok;75;1;3.521;
50;-15.57388932;27.76024358;0.00625;False;ok;53;1;3.392;
51;-15.58013932;27.76649358;0.00625;False;ok;12;1;3.154;
52;-15.57388932;27.76649358;0.00625;False;ok;6;1;6.202;
53;-15.59263932;27.77274358;0.0125;False;ok;0;1;4.000;
54;-15.56763932;27.76024358;0.00625;False;ok;75;1;7.681;
55;-15.56138932;27.76024358;0.00625;False;ok;18;1;7.159;
56;-15.56138932;27.76649358;0.00625;False;ok;3;1;7.181;
57;-15.55513932;27.76024358;0.00625;False;ok;16;1;7.219;
58;-15.55513932;27.76649358;0.00625;False;ok;74;1;7.012;
59;-15.54888932;27.76649358;0.00625;False;ok;74;1;7.796;
60;-15.55513932;27.77274358;0.0125;False;ok;9;1;6.970;
61;-15.54263932;27.76024358;0.0125;False;ok;75;1;7.557;
62;-15.54263932;27.77274358;0.0125;False;ok;24;1;6.957;
63;-15.53013932;27.77274358;0.0125;False;ok;73;1;7.000;
64;-15.51763932;27.76024358;0.025;False;ok;7;1;7.489;
65;-15.49263932;27.76024358;0.05;False;ok;21;1;7.333;
66;-18.04263932;27.81024358;0.1;False;ok;31;1;7.185;
67;-17.94263932;27.81024358;0.1;False;ok;69;1;3.856;
68;-15.76763932;27.81024358;0.00625;False;ok;1;1;3.674;
69;-15.76763932;27.81649358;0.003125;False;ok;70;1;4.742;
70;-15.76451432;27.81649358;0.003125;False;ok;75;1;4.424;
71;-15.76451432;27.81961858;0.003125;False;ok;28;1;3.901;
72;-15.76138932;27.81649358;0.00625;False;ok;14;1;4.992;
73;-15.75513932;27.81024358;0.0125;False;ok;41;1;2.964;
74;-15.76763932;27.82274358;0.0125;False;ok;23;1;3.028;
75;-15.76763932;27.83524358;0.025;False;ok;15;1;3.488;
76;-15.84263932;27.86024358;0.05;False;ok;11;1;3.425;
77;-15.74263932;27.81024358;0.1;False;ok;46;1;3.394;
78;-15.64263932;27.81024358;0.1;False;ok;55;1;3.400;
79;-15.54263932;27.81024358;0.1;False;ok;73;1;5.998;
80;-15.44263932;27.81024358;0.05;False;ok;75;1;6.175;
81;-15.39263932;27.81024358;0.05;False;ok;40;1;6.635;
82;-15.44263932;27.86024358;0.05;False;ok;47;1;6.652;
83;-15.39263932;27.86024358;0.05;False;ok;10;1;6.392;
84;-17.74263932;27.91024358;0.1;False;ok;0;1;6.900;
85;-16.66763932;27.99774358;0.0125;False;ok;28;1;6.911;
86;-16.65513932;28.00399358;0.00625;False;ok;23;1;6.979;
87;-16.64888932;28.00399358;0.00625;False;ok;75;1;6.871;
88;-16.64263932;27.91024358;0.1;False;ok;75;1;6.791;
89;-15.84263932;27.91024358;0.1;False;ok;66;1;6.973;
90;-15.74263932;27.91024358;0.1;False;ok;8;1;2.990;
91;-15.64263932;27.91024358;0.05;False;ok;11;1;6.931;
92;-15.59263932;27.91024358;0.05;False;ok;35;1;6.610;
93;-15.64263932;27.96024358;0.05;False;ok;74;1;3.200;
94;-15.59263932;27.96024358;0.05;False;ok;44;1;3.118;
95;-15.54263932;27.91024358;0.1;False;ok;75;1;6.963;
96;-15.44263932;27.91024358;0.05;False;ok;48;1;3.200;
97;-15.39263932;27.91024358;0.05;False;ok;5;1;3.548;
98;-15.44263932;27.96024358;0.05;False;ok;61;1;3.581;
99;-15.39263932;27.96024358;0.05;False;ok;74;1;4.396;
100;-17.44263932;28.01024358;0.1;False;ok;38;1;3.789;
101;-17.34263932;28.01024358;0.05;False;ok;1;1;3.620;
102;-17.34263932;28.06024358;0.025;False;ok;38;1;3.461;
103;-17.34263932;28.08524358;0.0125;False;ok;74;1;3.891;
104;-17.34263932;28.09774358;0.0125;False;ok;11;1;2.855;
105;-17.33013932;28.09774358;0.0125;False;ok;13;1;3.230;
106;-17.31763932;28.08524358;0.025;False;ok;1;1;2.916;
107;-17.29263932;28.06024358;0.05;False;ok;8;1;3.820;
108;-17.24263932;28.01024358;0.1;False;ok;72;1;4.915;
109;-17.14263932;28.01024358;0.1;False;ok;75;1;4.724;
110;-16.84263932;28.01024358;0.1;False;ok;73;1;4.944;
111;-16.70513932;28.01024358;0.0125;False;ok;66;1;5.048;
112;-16.70513932;28.02274358;0.0125;False;ok;73;1;5.318;
113;-16.73638932;28.04774358;0.00625;False;ok;1;1;4.704;
114;-16.74263932;28.05399358;0.00625;False;ok;0;1;5.381;
115;-16.73638932;28.05399358;0.003125;False;ok;9;1;4.678;
116;-16.73326432;28.05399358;0.003125;False;ok;6;1;4.809;
117;-16.73638932;28.05711858;0.003125;False;ok;67;1;3.493;
118;-16.73326432;28.05711858;0.003125;False;ok;44;1;4.842;
119;-16.73013932;28.04774358;0.00625;False;ok;66;1;3.625;
120;-16.72076432;28.04774358;0.003125;False;ok;36;1;3.474;
121;-16.72388932;28.05086858;0.003125;False;ok;72;1;3.390;
122;-16.72076432;28.05086858;0.003125;False;ok;75;1;4.364;
123;-16.73013932;28.05399358;0.003125;False;ok;19;1;3.550;
124;-16.72701432;28.05399358;0.003125;False;ok;72;1;3.510;
125;-16.73013932;28.05711858;0.003125;False;ok;72;1;4.106;
126;-16.72701432;28.05711858;0.003125;False;ok;1;1;3.426;
127;-16.72388932;28.05399358;0.00625;False;ok;60;1;2.975;
128;-16.71763932;28.03524358;0.0125;False;ok;73;1;2.424;
129;-16.71763932;28.04774358;0.003125;False;ok;5;1;2.126;
130;-16.71451432;28.04774358;0.003125;False;ok;74;1;2.354;
131;-16.71763932;28.05086858;0.003125;False;ok;71;1;2.319;
132;-16.71451432;28.05086858;0.003125;False;ok;75;1;2.110;
133;-16.71138932;28.04774358;0.00625;False;ok;75;1;2.130;
134;-16.71763932;28.05399358;0.00625;False;ok;69;1;1.981;
135;-16.71138932;28.05399358;0.00625;False;ok;52;1;1.771;
136;-16.70513932;28.04774358;0.0125;False;ok;75;1;2.221;
137;-16.69263932;28.01024358;0.025;False;ok;23;1;1.896;
138;-16.66763932;28.01024358;0.0125;False;ok;16;1;1.876;
139;-16.65513932;28.01024358;0.0125;False;ok;74;1;2.203;
140;-16.66763932;28.02274358;0.0125;False;ok;0;1;2.260;
141;-16.65513932;28.02274358;0.0125;False;ok;2;1;1.403;
