index;x;y;inc;mixed;status;alojamientos;attempts;elapsed_seconds;error
0;-18.04263932;27.61024358;0.1;False;ok;73;1;2.673;
1;-18.14263932;27.71024358;0.1;False;ok;15;1;2.378;
2;-18.04263932;27.71024358;0.05;False;ok;75;1;2.957;
3;-17.99263932;27.71024358;0.05;False;ok;48;1;2.781;
4;-18.04263932;27.76024358;0.05;False;ok;33;1;2.465;
5;-17.99263932;27.76024358;0.05;False;ok;35;1;2.440;
6;-17.94263932;27.71024358;0.1;False;ok;39;1;2.455;
7;-15.69263932;27.71024358;0.05;False;ok;65;1;2.544;
8;-15.71763932;27.76024358;0.025;False;ok;69;1;2.993;
9;-15.74263932;27.78524358;0.0125;False;ok;1;1;2.869;
10;-15.73013932;27.78524358;0.0125;False;ok;33;1;2.866;
11;-15.74263932;27.79774358;0.0125;False;ok;70;1;2.984;
12;-15.73013932;27.79774358;0.0125;False;ok;40;1;2.599;
13;-15.71763932;27.78524358;0.00625;False;ok;75;1;2.955;
14;-15.71138932;27.78524358;0.00625;False;ok;75;1;3.035;
15;-15.71763932;27.79149358;0.00625;False;ok;44;1;3.001;
16;-15.71138932;27.79149358;0.00625;False;ok;72;1;3.049;
17;-15.70513932;27.78524358;0.0125;False;ok;56;1;2.925;
18;-15.71763932;27.79774358;0.0125;False;ok;47;1;2.881;
19;-15.70513932;27.79774358;0.0125;False;ok;3;1;2.458;
20;-15.69263932;27.76024358;0.025;False;ok;74;1;1.539;
21;-15.66763932;27.76024358;0.025;False;ok;74;1;1.592;
22;-15.66763932;27.78524358;0.025;False;ok;66;1;1.328;
23;-15.64263932;27.73524358;0.025;False;ok;57;1;1.292;
24;-15.61763932;27.73524358;0.0125;False;ok;56;1;1.415;
25;-15.60513932;27.73524358;0.0125;False;ok;42;1;1.343;
26;-15.61763932;27.74774358;0.0125;False;ok;52;1;1.274;
27;-15.60513932;27.74774358;0.00625;False;ok;43;1;1.383;
28;-15.59888932;27.74774358;0.00625;False;ok;39;1;1.421;
29;-15.60513932;27.75399358;0.00625;False;ok;74;1;1.742;
30;-15.59888932;27.75399358;0.00625;False;ok;59;1;1.636;
31;-15.58013932;27.73524358;0.0125;False;ok;5;1;1.459;
32;-15.59263932;27.74774358;0.00625;False;ok;23;1;1.643;
33;-15.58638932;27.74774358;0.00625;False;ok;22;1;1.482;
34;-15.59263932;27.75399358;0.00625;False;ok;72;1;1.980;
35;-15.58638932;27.75399358;0.00625;False;ok;45;1;1.719;
36;-15.58013932;27.74774358;0.00625;False;ok;74;1;1.775;
37;-15.57388932;27.74774358;0.00625;False;ok;46;1;1.606;
38;-15.58013932;27.75399358;0.003125;False;ok;74;1;1.771;
39;-15.57701432;27.75399358;0.003125;False;ok;14;1;1.515;
40;-15.58013932;27.75711858;0.003125;False;ok;48;1;1.162;
41;-15.57701432;27.75711858;0.003125;False;ok;41;1;1.081;
42;-15.57388932;27.75399358;0.003125;False;ok;24;1;1.153;
43;-15.57076432;27.75399358;0.003125;False;ok;19;1;1.191;
44;-15.57388932;27.75711858;0.003125;False;ok;75;1;1.175;
45;-15.57076432;27.75711858;0.003125;False;ok;75;1;1.431;
46;-15.56763932;27.73524358;0.025;False;ok;25;1;1.225;
47;-15.64263932;27.76024358;0.05;False;ok;74;1;1.513;
48;-15.59263932;27.76024358;0.0125;False;ok;73;1;1.402;
49;-15.58013932;27.76024358;0.00625;False;ok;75;1;1.223;
50;-15.57388932;27.76024358;0.00625;False;ok;53;1;1.065;
51;-15.58013932;27.76649358;0.00625;False;ok;12;1;0.942;
52;-15.57388932;27.76649358;0.00625;False;ok;6;1;0.897;
53;-15.59263932;27.77274358;0.0125;False;ok;0;1;1.647;
